АвтоСнаб Накладные

Накладные
Статус строки,Корректировка,Дубль,Форма документа,Загрузка,Дата документа,№ Документа,Поставщик,ИНН Поставщика,Грузоотправитель,Получатель,Торговая точка,Склад,Основание,Товар найден в справочнике,Наименование товара из документа,Наименование товара в УС,Ед.изм. в документе,Ед.изм. в УС,Кол-во в документе,Кол-во в УС,Цена за ед-цу,Цена в УС,Стоимость без НДС,Ставка НДС,Сумма НДС,Общая стоимость,Сумма накладной,Дата приема,"Принял, Ф.И.О.",Госсистемы,Кол-во в заявке,Цена по прайсу,Предыдущая дата поставки,Предыдущая цена,Отклонение от цены прайса,Время загрузки документа,ID документа,Ссылка на исходный документ
,,,ТОРГ-12,,2026-06-22,УПМК3003248,"ООО ""МК ""Залесье"", ИНН 3920007884, 238642, Калининградская обл, Полесский р-н, Залесье п, Искровская ул, дом No 2",3920007884,"ООО ""МК ""Залесье"", ИНН 3920007884, 238642, Калининградская обл, Полесский р-н, Залесье п, Искровская ул, дом No 2","ЛИР ООО, ИНН 3906406206","ЛИР ООО, ИНН 3906406206",,Основной договор,,"Окорок ""Пармский"" с/к",,кг,,3.954,,2250.0,,8896.5,7%,622.76,9519.26,13517.73,,,,,,,,,2026-07-04 21:18:29,1,
,,,,,,,,,,,,,,,"Колбаса ""Итальянская Мортаделла"" вар.",,кг,,4.106,,861.3,,3536.5,7%,247.56,3784.06,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Окорок ""По-тамбовски"" к/в в/у",,кг,,2848.72,,7.0,,199.41,2%,15.0,214.41,,,,,,,,,,,,

