АвтоСнаб Накладные

Накладные
Время загрузки документа,ID документа,Индикатор дубля документа,Форма документа,Дата документа,№ Документа,Поставщик,ИНН Поставщика,Грузополучатель,Получатель,Торговая точка,Склад,Основание,Наименование товара из документа,Госсистемы,Наименование товара в УС,Товар найден в справочнике,Ед.изм.,Кол-во из документа,Цена за единицу,Стоимость без НДС,Ставка НДС %,Сумма НДС,Общая стоимость,Сумма накладной,Ед.изм. в УС,Кол-во в УС,Цена в УС,Дата приема,"Принял, Ф.И.О.",Кол-во в заявке,Цена по прайсу,Последняя дата поставки,Последняя цена,Отклонение от цены прайса,Загрузить в УС,Статус строки,Причина ручной корректировки
2026-07-02 20:40:59,1,,,2026-06-23,,"ООО ""ВИКТОРИЯ БАЛТИЯ""",,,,,,,КЕФИР ФЕРМЕРСКИЙ 800Г,,,,шт,1.0,72.9,72.9,,,72.9,447.3,,,,,,,,,,,,,
,,,,,,,,,,,,,КЕФИР ФЕРМЕРСКИЙ 800Г,,,,шт,1.0,72.9,72.9,,,72.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,КЕФИР ФЕРМЕРСКИЙ 800Г,,,,шт,1.0,72.9,72.9,,,72.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,КЕФИР ФЕРМЕРСКИЙ 800Г,,,,шт,1.0,72.9,72.9,,,72.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,КЕФИР ФЕРМЕРСКИЙ 800Г,,,,шт,1.0,72.9,72.9,,,72.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,КЕФИР ФЕРМЕРСКИЙ 800Г,,,,шт,1.0,72.9,72.9,,,72.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,ПАКЕТ-МАЙКА ВИКТОРИЯ 65*40СМ,,,,шт,1.0,9.9,9.9,,,9.9,,,,,,,,,,,,,,

