АвтоСнаб Накладные

Накладные
Статус строки,Корректировка,Дубль,Форма документа,Загрузка,Дата документа,№ Документа,Поставщик,ИНН Поставщика,Грузоотправитель,Получатель,Торговая точка,Склад,Основание,Товар найден в справочнике,Наименование товара из документа,Наименование товара в УС,Ед.изм. в документе,Ед.изм. в УС,Кол-во в документе,Кол-во в УС,Цена за ед-цу,Цена в УС,Стоимость без НДС,Ставка НДС,Сумма НДС,Общая стоимость,Сумма накладной,Дата приема,"Принял, Ф.И.О.",Госсистемы,Кол-во в заявке,Цена по прайсу,Предыдущая дата поставки,Предыдущая цена,Отклонение от цены прайса,Время загрузки документа,ID документа,Ссылка на исходный документ
,,,,,2026-06-23,,"ООО ""ВИКТОРИЯ БАЛТИЯ""",,"ООО ""ВИКТОРИЯ БАЛТИЯ""",,,,,,КЕФИР ФЕРМЕРСКИЙ 800Г,,шт,,1.0,,72.9,,72.9,,,72.9,447.3,,,,,,,,,2026-07-04 21:39:55,1,
,,,,,,,,,,,,,,,КЕФИР ФЕРМЕРСКИЙ 800Г,,шт,,1.0,,72.9,,72.9,,,72.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,КЕФИР ФЕРМЕРСКИЙ 800Г,,шт,,1.0,,72.9,,72.9,,,72.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,КЕФИР ФЕРМЕРСКИЙ 800Г,,шт,,1.0,,72.9,,72.9,,,72.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,КЕФИР ФЕРМЕРСКИЙ 800Г,,шт,,1.0,,72.9,,72.9,,,72.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,КЕФИР ФЕРМЕРСКИЙ 800Г,,шт,,1.0,,72.9,,72.9,,,72.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,ПАКЕТ-МАЙКА ВИКТОРИЯ 65*40СМ,,шт,,1.0,,9.9,,9.9,,,9.9,,,,,,,,,,,,

